# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
0,1669843366.3470657,0,-0.03546099364757538,1.9860873222351074,0,0,0,0
1,1669843366.3500674,3200,-0.03546099364757538,1.9860873222351074,-0.006896551698446274,2.0246875286102295,0,0
2,1669843366.434192,6400,-0.03546099364757538,1.9860873222351074,-0.006896551698446274,2.0246875286102295,-0.00699300691485405,2.0012500286102295
3,1669843374.0464334,9600,-0.5301528573036194,188.50540161132812,-0.006896551698446274,2.0246875286102295,-0.00699300691485405,2.0012500286102295
4,1669843374.5076094,12800,-0.5301528573036194,188.50540161132812,-0.006896551698446274,2.0246875286102295,0.5389276742935181,3.3340227603912354
5,1669843374.8962831,16000,-0.5301528573036194,188.50540161132812,0.5530993938446045,3.357795238494873,0.5389276742935181,3.3340227603912354
6,1669843383.2178588,19200,-0.8100008964538574,10338717696.0,0.5530993938446045,3.357795238494873,0.5389276742935181,3.3340227603912354
7,1669843383.5645545,22400,-0.8100008964538574,10338717696.0,0.5530993938446045,3.357795238494873,0.8145696520805359,2.5829150676727295
8,1669843383.9620416,25600,-0.8100008964538574,10338717696.0,0.8157917857170105,2.534289598464966,0.8145696520805359,2.5829150676727295
9,1669843392.2036662,28800,-0.9011753797531128,3455387.5,0.8157917857170105,2.534289598464966,0.8145696520805359,2.5829150676727295
10,1669843392.469483,32000,-0.9011753797531128,3455387.5,0.8157917857170105,2.534289598464966,0.9061079621315002,1.4330147504806519
11,1669843393.155342,35200,-0.9011753797531128,3455387.5,0.9064866900444031,1.3963596820831299,0.9061079621315002,1.4330147504806519
12,1669843401.2369728,38400,-0.9548584222793579,218580.109375,0.9064866900444031,1.3963596820831299,0.9061079621315002,1.4330147504806519
13,1669843401.622873,41600,-0.9548584222793579,218580.109375,0.9064866900444031,1.3963596820831299,0.9584123492240906,1.2422473430633545
14,1669843402.3728328,44800,-0.9548584222793579,218580.109375,0.9669973254203796,1.4088822603225708,0.9584123492240906,1.2422473430633545
15,1669843409.828306,48000,-0.9988119006156921,351535424.0,0.9669973254203796,1.4088822603225708,0.9584123492240906,1.2422473430633545
16,1669843410.447491,51200,-0.9988119006156921,351535424.0,0.9669973254203796,1.4088822603225708,1.0010579824447632,1.3490140438079834
17,1669843411.4416566,54400,-0.9988119006156921,351535424.0,1.0010182857513428,1.1707167625427246,1.0010579824447632,1.3490140438079834
18,1669843418.898712,57600,-1.0226503610610962,3140.0712890625,1.0010182857513428,1.1707167625427246,1.0010579824447632,1.3490140438079834
19,1669843419.3683794,60800,-1.0226503610610962,3140.0712890625,1.0010182857513428,1.1707167625427246,1.025863766670227,1.1647742986679077
20,1669843420.604425,64000,-1.0226503610610962,3140.0712890625,1.0272972583770752,1.2739051580429077,1.025863766670227,1.1647742986679077
21,1669843428.1332428,67200,-1.062676191329956,1248.4625244140625,1.0272972583770752,1.2739051580429077,1.025863766670227,1.1647742986679077
22,1669843428.4831986,70400,-1.062676191329956,1248.4625244140625,1.0272972583770752,1.2739051580429077,1.0647655725479126,1.653043508529663
